HU_t;RSP_t
-47.23847125664382;1.0305388597480758
-66.1110466746353;1.0115298224225298
-85.02664628541201;0.9925201437714118
-47.683810937173;1.0403236229662314
-190.10077825351445;1.0507998489639045
14.51694844526119;1.0874803966470392
3.008316339140338;1.0780111419706626
47.33679140678526;1.115930603287135
34.448278780290885;1.100097292938502
-31.290567456014994;1.0496177316341448
-0.3361882752879186;1.0780482603395716
38.325089387740704;1.116012440273883
-47.31314255813957;1.0240415507477896
-71.85855268645935;1.001899257709144
408.47837235214877;1.5828717794427039
-1.6725028637560868;1.0553871674777562
38.023622391817554;1.1223649924712222
54.72422393680931;1.148923685414982
17.97618558942471;1.0873251425461015
36.43221206535907;1.1064362048547316
25.01030293580242;1.0969216784604947
47.7616412957711;1.1159578604702818
36.23493006317702;1.1064120801695085
-96.67724142614476;0.9830917014639672
44.833952017334425;1.1159571734658975
24.667834288590875;1.096983038164272
34.53691064277042;1.1064749685929276
-743.2062858486645;0.27393985015413125
29.766704992644;1.0968183868534727
22.5854219534638;1.087246304253086
35.55669048627785;1.1064146726673667
41.05413170042871;1.1095731375569344
29.474836403366567;1.100127078704872
226.9338972422963;1.3762989359975972
84.05121043062702;1.1507725460827145
1283.9672099751467;1.8876686073493392
847.8906443165939;1.609701533727003
474.57153109205706;1.3560441565038535
325.5260820290573;1.2555760470444126
644.2610404966799;1.4734209906714038
943.5152263469291;1.6731342539166845
10.725032472067797;1.0876898610062595
560.2068211552391;1.4289906636631335
719.9095489149696;1.5304589752778026
390.9923490435099;1.3222584380222804
532.6112742241362;1.4131599050824228
247.8532017440327;1.2208096486190714
573.90855608415;1.438503349187413
449.097065343778;1.3560487928190998
-37.96998113100525;1.043475749266815
64.06534949513465;1.1447092330177648
45.134301378112696;1.1159473142646112
32.336600838961175;1.1000366771782932
33.16470008330219;1.1064167327290637
30.739002831257523;1.0968323270974174
29.02239965834208;1.0904177637153516
709.9085113068269;1.6641508535764724
1825.9107021843358;2.2237224286297357
492.5328430006188;1.7226707001531294
0.0;1.0617744012496635
