HU;HU/1000 +1
501.872;1.501872
-718.669;0.281331
233.833;1.2338325
1.833;1.001833
1347.199;2.347199
72.006;1.072006
16.233;1.0162325
-537.632;0.4623685
-0.017;0.999983
-95.309;0.9046915
-1.367;0.9986335
247.099;1.247099
37.188;1.0371875
888.162;1.8881615
3.052;1.003052
-58.975;0.9410255
