HU;HU/1000 +1
422.125;1.422125
-703.178;0.296822
195.8605;1.1958605
2.253;1.002253
1133.345;2.133345
67.031;1.067031
19.033;1.019033
-526.7545;0.4732455
-3.969;0.996031
-85.5035;0.9144965
-0.128;0.999872
207.7195;1.2077195
27.2435;1.0272435
746.8045;1.7468045
-7.4275;0.9925725
-52.633;0.947367
